SalesKey,OrderDate,ProductKey,CustomerKey,GeographyKey,Quantity,NetPrice,SalesAmount
1,2008-01-01,2492,18813,279,1,23.7405,23.7405
2,2008-01-01,2492,18813,279,1,23.7405,23.7405
3,2008-01-01,2492,18813,279,1,23.7405,23.7405
4,2008-01-01,2492,18813,279,1,23.7405,23.7405
5,2008-01-01,2492,18813,279,1,23.7405,23.7405
6,2008-01-01,2492,18813,279,1,23.7405,23.7405
7,2008-01-01,2492,18813,279,1,23.7405,23.7405
8,2008-01-01,2492,18813,279,1,23.7405,23.7405
9,2008-01-01,2492,18813,279,1,23.7405,23.7405
10,2008-01-01,2492,18813,279,1,23.7405,23.7405
11,2008-01-01,2492,18813,279,1,23.7405,23.7405
12,2008-01-01,2492,18813,279,1,23.7405,23.7405
13,2008-01-01,2492,18813,279,1,23.7405,23.7405
14,2008-01-01,2492,18813,279,1,23.7405,23.7405
15,2008-01-01,2492,18813,279,1,23.7405,23.7405
16,2008-01-01,2492,18813,279,1,23.7405,23.7405
17,2008-01-01,2492,18813,279,1,23.7405,23.7405
18,2008-01-01,2492,18813,279,1,23.7405,23.7405
19,2008-01-01,2492,18813,279,1,23.7405,23.7405
20,2008-01-01,2492,18813,279,1,23.7405,23.7405
21,2008-01-01,2492,18813,279,1,23.7405,23.7405
22,2008-01-01,2492,18813,279,1,23.7405,23.7405
23,2008-01-01,2492,18813,279,1,23.7405,23.7405
24,2008-01-01,2492,18813,279,1,23.7405,23.7405
25,2008-01-01,2492,18813,279,1,23.7405,23.7405
26,2008-01-01,2492,18813,279,1,23.7405,23.7405
27,2008-01-01,2492,18813,279,1,23.7405,23.7405
28,2008-01-01,2492,18813,279,1,23.7405,23.7405
29,2008-01-01,2492,18813,279,1,23.7405,23.7405
30,2008-01-01,2492,18813,279,1,23.7405,23.7405
31,2008-01-01,2492,18813,279,1,23.7405,23.7405
32,2008-01-01,2492,18813,279,1,23.7405,23.7405
33,2008-01-01,2492,18813,279,1,23.7405,23.7405
34,2008-01-01,2492,18813,279,1,23.7405,23.7405
35,2008-01-01,2492,18813,279,1,23.7405,23.7405
36,2008-01-01,2492,18813,279,1,23.7405,23.7405
37,2008-01-01,2492,18813,279,1,23.7405,23.7405
38,2008-01-01,2492,18813,279,1,23.7405,23.7405
39,2008-01-01,2492,18813,279,1,23.7405,23.7405
40,2008-01-01,2492,18813,279,1,23.7405,23.7405
41,2008-01-01,2492,18813,279,1,23.7405,23.7405
42,2008-01-01,2492,18813,279,1,23.7405,23.7405
43,2008-01-01,2492,18813,279,1,23.7405,23.7405
44,2008-01-01,2492,18813,279,1,23.7405,23.7405
45,2008-01-01,2492,18813,279,1,23.7405,23.7405
46,2008-01-01,2492,18813,279,1,23.7405,23.7405
47,2008-01-01,2492,18813,279,1,23.7405,23.7405
48,2008-01-01,2492,18813,279,1,23.7405,23.7405
49,2008-01-01,2492,18813,279,1,23.7405,23.7405
50,2008-01-01,2492,18813,279,1,23.7405,23.7405
51,2008-01-01,2492,18813,279,1,23.7405,23.7405
52,2008-01-01,2492,18813,279,1,23.7405,23.7405
53,2008-01-01,2492,18813,279,1,23.7405,23.7405
54,2008-01-01,2492,18813,279,1,23.7405,23.7405
55,2008-01-01,2492,18813,279,1,23.7405,23.7405
56,2008-01-01,2492,18813,279,1,23.7405,23.7405
57,2008-01-01,2492,18813,279,1,23.7405,23.7405
58,2008-01-01,2492,18813,279,1,23.7405,23.7405
59,2008-01-01,2492,18813,279,1,23.7405,23.7405
60,2008-01-01,2492,18813,279,1,23.7405,23.7405
